"isrc";"artist_id";"streams";"weeks_in_charts";"n_regions";"danceability";"energy";"speechiness";"instrumentalness";"liveness";"valence";"tempo";"song_length";"song_age";"explicit";"n_playlists";"sp_popularity";"youtube_views";"tiktok_counts";"ins_followers_artist";"monthly_listeners_artist";"playlist_total_reach_artist";"sp_fans_artist";"shazam_counts";"artistName";"trackName";"release_date";"genre";"label";"top10";"expert_rating"
"PT9EV1900016";205115;10481;2;1;47,4;66,4;31,8;0;10,2;45,7;75,065;4,57288333333333;69,2857142857143;0;7;32;1334100;60;185543;355222;863646;23641;2075;"Plutónio";"Panorama";"2019-11-22";"HipHop/Rap";"Sony Music";0;"good"
"DETX91500393";43635;206849;5;1;48;80,9;34,1;0,01;18,1;34,7;91,859;2,712;208,285714285714;0;54;31;0;0;881877;1576176;7117698;86160;0;"Maxwell";"1 Joint";"2017-03-23";"HipHop/Rap";"Universal Music";0;"good"
"BRKGM2000021";526350;2475019;26;1;76,3;60,5;34,5;0;21,1;45,5;118,959;2,86206666666667;13,8571428571429;0;73;69;0;160400;4590837;6026073;33199398;403759;17828;"Xamã feat. Gustah";"Sagitário";"2020-12-14";"Pop";"Independent";0;"good"
"DEXS52000033";436757;237863;15;2;71,1;72,5;11,3;0;18,1;53,5;173,967;2,42106666666667;18,4285714285714;0;7;52;0;0;418813;228917;822825;72890;0;"Sinan-G";"RABENSCHWARZ";"2020-11-12";"HipHop/Rap";"Universal Music";0;"poor"
"USUMG9900203";1894;44915;1;1;67,4;66,6;3,81;0;23,3;73,5;115,87;2,84178333333333;2911,71428571429;0;436;22;102078;0;2399;4125336;38925720;175260;0;"The Supremes";"Children's Christmas Song - Stereo";"1965-11-01";"other";"Universal Music";0;"excellent"
"FIWMA1900146";4595;253512;16;1;79,5;80,8;6,05;0;4,92;44,9;119,976;3,14131666666667;90,2857142857143;0;5;24;0;0;340999;208251;455326;14596;0;"SANNI";"Jengi nukkuu igluissaki";"2019-06-28";"Pop";"Warner Music";0;"excellent"
"CHC382000058";307661;1972313;121;1;71,9;68,9;9,98;0;15,9;47,4;78,001;3,29988333333333;17,2857142857143;0;53;58;0;87;0;331268;387230;3630;0;"Lo & Leduc";"Tribut";"2020-11-20";"HipHop/Rap";"Independent";0;"good"
"DKUM71500180";91030;9220;1;1;57,2;73,6;4,47;0;27,7;37,7;94,986;3,48088333333333;226,285714285714;0;249;2;3768;0;10513;460837;2219285;498;24460;"NOAH";"Før Vi Falder";"2015-07-05";"Pop";"Universal Music";0;"excellent"
"TWCC31701907";812152;463734;46;1;51,8;27,7;2,96;0;12,4;29,3;140,117;4,12856666666667;169,714285714286;0;3;36;0;0;121977;547144;986675;17;61926;"陳忻玥";"煙幕";"2018-01-08";"Pop";"Independent";0;"poor"
"ITK191800191";717976;5073262;128;1;66,9;45,1;14,2;0;11,3;26,3;159,969;3,4877;125,285714285714;0;42;56;0;8032;101908;463684;469076;1272;0;"Nashley";"Nuovi Jeans";"2018-10-26";"HipHop/Rap";"Independent";0;"poor"
